cluster_nodes,n,k,run,method,time
1,1000,20,0,SVD,1.3196465969085693
1,1000,20,1,PySpark,0.42403244972229004
1,1000,20,1,QR,1.9821131229400635
1,1000,20,1,SVD,1.252394437789917
1,1000,20,2,PySpark,0.4120662212371826
1,1000,20,2,QR,1.8469994068145752
1,1000,20,2,SVD,1.2565312385559082
1,1000,20,3,PySpark,0.3832972049713135
1,1000,20,3,QR,1.8375506401062012
1,1000,20,3,SVD,1.2356209754943848
1,1000,20,4,PySpark,0.3885343074798584
1,1000,20,4,QR,1.8714210987091064
1,1000,20,4,SVD,1.1942334175109863
1,1000,30,0,PySpark,0.4151456356048584
1,1000,30,0,QR,2.5862514972686768
1,1000,30,0,SVD,1.4829912185668945
1,1000,30,1,PySpark,0.4185512065887451
1,1000,30,1,QR,2.115081787109375
1,1000,30,1,SVD,1.4330456256866455
1,1000,30,2,PySpark,0.4009742736816406
1,1000,30,2,QR,2.0567855834960938
1,1000,30,2,SVD,1.4749951362609863
1,1000,30,3,PySpark,0.4104461669921875
1,1000,30,3,QR,2.081266164779663
1,1000,30,3,SVD,1.4630825519561768
1,1000,30,4,PySpark,0.420792818069458
1,1000,30,4,QR,2.1206448078155518
1,1000,30,4,SVD,1.4323155879974365
1,10000,2,0,PySpark,0.5258543491363525
1,10000,2,0,QR,2.7972774505615234
1,10000,2,0,SVD,1.5949358940124512
1,10000,2,1,PySpark,0.5325403213500977
1,10000,2,1,QR,2.347320795059204
1,10000,2,1,SVD,1.6051032543182373
1,10000,2,2,PySpark,0.5169353485107422
1,10000,2,2,QR,2.359309196472168
1,10000,2,2,SVD,1.5825529098510742
1,10000,2,3,PySpark,0.49892091751098633
1,10000,2,3,QR,2.405850648880005
1,10000,2,3,SVD,1.6060545444488525
1,10000,2,4,PySpark,0.5538380146026611
1,10000,2,4,QR,2.2349109649658203
1,10000,2,4,SVD,1.567896842956543
1,10000,10,0,PySpark,0.8079733848571777
1,10000,10,0,QR,3.8484764099121094
1,10000,10,0,SVD,2.603849411010742
1,10000,10,1,PySpark,0.7476518154144287
1,10000,10,1,QR,3.3565704822540283
1,10000,10,1,SVD,2.6194143295288086
1,10000,10,2,PySpark,0.7654092311859131
1,10000,10,2,QR,3.2899885177612305
1,10000,10,2,SVD,2.5051400661468506
1,10000,10,3,PySpark,0.87703537940979
1,10000,10,3,QR,3.6016194820404053
1,10000,10,3,SVD,2.6812543869018555
1,10000,10,4,PySpark,1.024930477142334
1,10000,10,4,QR,3.7115845680236816
1,10000,10,4,SVD,2.85805082321167
1,10000,20,0,PySpark,1.0768537521362305
1,10000,20,0,QR,5.109644651412964
1,10000,20,0,SVD,3.703101396560669
1,10000,20,1,PySpark,1.0234110355377197
1,10000,20,1,QR,4.567322254180908
1,10000,20,1,SVD,3.661125898361206
1,10000,20,2,PySpark,1.0912234783172607
1,10000,20,2,QR,4.862196683883667
1,10000,20,2,SVD,3.776095390319824
1,10000,20,3,PySpark,1.0229823589324951
1,10000,20,3,QR,4.592410564422607
1,10000,20,3,SVD,3.730736494064331
1,10000,20,4,PySpark,1.1191351413726807
1,10000,20,4,QR,4.521875858306885
1,10000,20,4,SVD,3.669914722442627
1,100000,2,0,PySpark,2.4430859088897705
1,100000,2,0,QR,9.088226079940796
1,100000,2,0,SVD,6.757073879241943
1,100000,2,1,PySpark,2.5191128253936768
1,100000,2,1,QR,8.585584163665771
1,100000,2,1,SVD,6.8012518882751465
1,100000,2,2,PySpark,2.467491626739502
1,100000,2,2,QR,8.73613166809082
1,100000,2,2,SVD,6.747901916503906
1,100000,2,3,PySpark,2.511667251586914
1,100000,2,3,QR,8.688692092895508
1,100000,2,3,SVD,6.756721496582031
1,100000,2,4,PySpark,2.4539928436279297
1,100000,2,4,QR,8.73122763633728
1,100000,2,4,SVD,6.806849956512451
1,100,2,0,PySpark,4.9740893840789795
1,100,2,0,QR,3.443833589553833
1,100,2,0,SVD,1.2944717407226562
1,100,2,1,PySpark,0.4693033695220947
1,100,2,1,QR,1.8759427070617676
1,100,2,1,SVD,1.219632863998413
1,100,2,2,PySpark,0.46738743782043457
1,100,2,2,QR,1.9787051677703857
1,100,2,2,SVD,1.1524763107299805
1,100,2,3,PySpark,0.4989640712738037
1,100,2,3,QR,1.8690900802612305
1,100,2,3,SVD,1.1981656551361084
1,100,2,4,PySpark,0.5292887687683105
1,100,2,4,QR,1.7660746574401855
1,100,2,4,SVD,1.2595579624176025
1,100,10,0,PySpark,0.43320775032043457
1,100,10,0,QR,2.202446460723877
1,100,10,0,SVD,1.2918124198913574
1,100,10,1,PySpark,0.44347381591796875
1,100,10,1,QR,1.8694427013397217
1,100,10,1,SVD,1.164492130279541
1,100,10,2,PySpark,0.3924272060394287
1,100,10,2,QR,1.8202664852142334
1,100,10,2,SVD,1.1320478916168213
1,100,10,3,PySpark,0.4067838191986084
1,100,10,3,QR,1.7296011447906494
1,100,10,3,SVD,1.12190580368042
1,100,10,4,PySpark,0.39600372314453125
1,100,10,4,QR,1.736652135848999
1,100,10,4,SVD,1.1598904132843018
1,100,20,0,PySpark,0.4328794479370117
1,100,20,0,QR,2.3136253356933594
1,100,20,0,SVD,1.1901416778564453
1,100,20,1,PySpark,0.43947744369506836
1,100,20,1,QR,1.943652629852295
1,100,20,1,SVD,1.4589276313781738
1,100,20,2,PySpark,0.42893123626708984
1,100,20,2,QR,1.915269136428833
1,100,20,2,SVD,1.2193779945373535
1,100,20,3,PySpark,0.43903112411499023
1,100,20,3,QR,1.8264083862304688
1,100,20,3,SVD,1.178830623626709
1,100,20,4,PySpark,0.39446306228637695
1,100,20,4,QR,1.8311333656311035
1,100,20,4,SVD,1.2072136402130127
1,100,30,0,PySpark,0.4335141181945801
1,100,30,0,QR,2.344508409500122
1,100,30,0,SVD,1.281005620956421
1,100,30,1,PySpark,0.42766594886779785
1,100,30,1,QR,1.8049774169921875
1,100,30,1,SVD,1.18206787109375
1,100,30,2,PySpark,0.4411172866821289
1,100,30,2,QR,1.8647351264953613
1,100,30,2,SVD,1.2948918342590332
1,100,30,3,PySpark,0.41333508491516113
1,100,30,3,QR,1.8462355136871338
1,100,30,3,SVD,1.1890175342559814
1,100,30,4,PySpark,0.38881516456604004
1,100,30,4,QR,1.8224616050720215
1,100,30,4,SVD,1.230586290359497
1,100,50,0,PySpark,0.4351470470428467
1,100,50,0,QR,2.3787457942962646
1,100,50,0,SVD,1.348905324935913
1,100,50,1,PySpark,0.4995861053466797
1,100,50,1,QR,2.403151512145996
1,100,50,1,SVD,1.4347460269927979
1,100,50,2,PySpark,0.4113729000091553
1,100,50,2,QR,1.9114611148834229
1,100,50,2,SVD,1.2519340515136719
1,100,50,3,PySpark,0.46033310890197754
1,100,50,3,QR,1.902357578277588
1,100,50,3,SVD,1.241044282913208
1,100,50,4,PySpark,0.45635151863098145
1,100,50,4,QR,1.953705072402954
1,100,50,4,SVD,1.2797179222106934
1,100,100,0,PySpark,0.4907872676849365
1,100,100,0,QR,2.5831139087677
1,100,100,0,SVD,1.580780267715454
1,100,100,1,PySpark,0.455341100692749
1,100,100,1,QR,2.1091206073760986
1,100,100,1,SVD,1.6440870761871338
1,100,100,2,PySpark,0.4888737201690674
1,100,100,2,QR,2.071866273880005
1,100,100,2,SVD,1.4853365421295166
1,100,100,3,PySpark,0.47560811042785645
1,100,100,3,QR,2.094472885131836
1,100,100,3,SVD,1.5260741710662842
1,100,100,4,PySpark,0.465991735458374
1,100,100,4,QR,2.1549184322357178
1,100,100,4,SVD,1.449434757232666
1,500,2,0,PySpark,0.413130521774292
1,500,2,0,QR,2.2415127754211426
1,500,2,0,SVD,1.132598638534546
1,500,2,1,PySpark,0.3867337703704834
1,500,2,1,QR,1.7363691329956055
1,500,2,1,SVD,1.2175285816192627
1,500,2,2,PySpark,0.5251739025115967
1,500,2,2,QR,1.8274962902069092
1,500,2,2,SVD,1.1802623271942139
